SID,CD3Cellcount
export_export_FF_010_E_03172022_03_CD4-CD8+.fcs,281093
export_export_FF_012_E_03172022_03_CD4-CD8+.fcs,293132
export_export_FF_05_E_20220318_04_CD4-CD8+.fcs,349645
export_export_FF_14_E_20220318_04_CD4-CD8+.fcs,203727
export_export_FF_20_E_20220318_04_CD4-CD8+.fcs,246598
export_export_FF_21_E_03172022_03_CD4-CD8+.fcs,247298
export_export_FF_31_E_20220318_04_CD4-CD8+.fcs,267131
export_export_FF_33_E_20220318_04_CD4-CD8+.fcs,250359
export_export_FF_38_E_03172022_03_CD4-CD8+.fcs,276548
export_export_FF_43_C_20220318_04_CD4-CD8+.fcs,311766
export_export_FF_44_E_03172022_03_CD4-CD8+.fcs,302608
export_export_FF_Tube02_E_05252022_2_03_CD4-CD8+.fcs,188438
export_export_FF_Tube03_E_05262022_03_CD4-CD8+.fcs,175454
export_export_FF_Tube04_E_05252022_03_CD4-CD8+.fcs,281112
export_export_FF_Tube05_E_05252022_03_CD4-CD8+.fcs,264204
export_export_FF_Tube06_E_02272022_02_CD4-CD8+.fcs,260841
export_export_FF_Tube07_E_05262022_03_CD4-CD8+.fcs,84889
export_export_FF_Tube08_C_05252022_03_CD4-CD8+.fcs,166331
export_export_FF_Tube09_E_05262022_03_CD4-CD8+.fcs,139964
export_export_FF_Tube1_E_02272022_02_CD4-CD8+.fcs,268304
export_export_FF_Tube10_E_02272022_02_CD4-CD8+.fcs,196276
export_export_FF_Tube11_E_02272022_02_CD4-CD8+.fcs,142188
export_export_FF_Tube12_C_02272022_02_CD4-CD8+.fcs,245695
export_export_FF_Tube13_C_05262022_04_CD4-CD8+.fcs,202787
export_export_FF_Tube14_C_05252022_03_CD4-CD8+.fcs,175264
export_export_FF_Tube15_C_05252022_03_CD4-CD8+.fcs,175678
export_export_FF_Tube16_C_05262022_03_CD4-CD8+.fcs,332302
export_export_FF_Tube17_C_05262022_04_CD4-CD8+.fcs,60517
export_export_FF_Tube18_C_05262022_03_CD4-CD8+.fcs,92780
export_export_FF_Tube19_C_02272022_02_CD4-CD8+.fcs,150478
export_export_FF_Tube20_C_05262022_03_CD4-CD8+.fcs,166566
export_export_FF_Tube21_C_02272022_02_CD4-CD8+.fcs,76546
export_export_FF_Tube22_C_02272022_02_CD4-CD8+.fcs,120512
export_export_FF_Tube23_C_05252022_03_CD4-CD8+.fcs,57063
export_export_UA_1000_C_03172022_03_CD4-CD8+.fcs,316142
export_export_UA_937_C_20220318_04_CD4-CD8+.fcs,215059
export_export_UA_955_C_20220318_04_CD4-CD8+.fcs,117612
export_export_WF_005_C_03172022_03_CD4-CD8+.fcs,292064
export_export_WF_102_C_20220318_04_CD4-CD8+.fcs,241370
export_export_WF_120_C_03172022_03_CD4-CD8+.fcs,300867
export_export_WF_91_C_20220318_04_CD4-CD8+.fcs,239495
export_1_ICA_IC _CD4-CD8+.fcs,16868
export_2_ICB_IC _CD4-CD8+.fcs,22998
export_3_FF-024_SE _CD4-CD8+.fcs,47802
export_4_WF046_nonSE _CD4-CD8+.fcs,63834
export_5_WF135_SE _CD4-CD8+.fcs,29862
export_6_FF-013_SE _CD4-CD8+.fcs,61920
export_7_WF034_SE _CD4-CD8+.fcs,35316
export_8_FF-035_SE _CD4-CD8+.fcs,110682
export_9_FF-022_SE _CD4-CD8+.fcs,25661
export_10_WF008_SE _CD4-CD8+.fcs,46462
export_11_WF055_SE _CD4-CD8+.fcs,102741
export_12_WF045_nonSE _CD4-CD8+.fcs,53366
export_13_WF128_nonSE _CD4-CD8+.fcs,150680
export_14_WF110_nonSE _CD4-CD8+.fcs,315370
export_15_ICA_IC _CD4-CD8+.fcs,80811
export_16_ICB_IC _CD4-CD8+.fcs,69427
export_17_ICA_IC _CD4-CD8+.fcs,295384
export_18_ICB_IC _CD4-CD8+.fcs,244892
export_19_WF081_SE _CD4-CD8+.fcs,356234
export_20_FF-052_SE _CD4-CD8+.fcs,212947
export_21_FF-023_SE _CD4-CD8+.fcs,263996
export_22_WF015_SE _CD4-CD8+.fcs,374196
export_23_WF057_nonSE _CD4-CD8+.fcs,214253
export_24_FF-045_SE_CD4-CD8+.fcs,164419
export_250107_sample25_FF-033_1_1_CD4-CD8+.fcs,78474
export_250107_sample26_WF094_1_1_CD4-CD8+.fcs,125633
export_250107_sample27_1294_1_1_CD4-CD8+.fcs,121146
export_250107_sample28_W0043B_1_1_CD4-CD8+.fcs,71357
export_250107_sample29_5023_1_1_CD4-CD8+.fcs,99338
export_250107_sample30_WF066_1_1_CD4-CD8+.fcs,128451
export_250107_sample31_W0050A_1_1_CD4-CD8+.fcs,73713
export_250107_sample32_5866_1_1_CD4-CD8+.fcs,76026
export_250107_sample33_2766_1_1_CD4-CD8+.fcs,139541
export_250107_sample34_WF006_1_1_CD4-CD8+.fcs,23833
export_250107_sample35_FF033_1_1_CD4-CD8+.fcs,6554
export_250107_sample36_WF094_1_1_CD4-CD8+.fcs,122447
export_250107_sample37_W0053A_1_1_CD4-CD8+.fcs,142477
export_250107_sample38_5024_1_1_CD4-CD8+.fcs,107362
export_250107_sample39_2765_1_1_CD4-CD8+.fcs,137818
export_250107_sample40_WF069_1_1_CD4-CD8+.fcs,122363
export_250107_sample41_WF025_1_1_CD4-CD8+.fcs,166844
export_250107_sample42_1804_1_1_CD4-CD8+.fcs,76496
export_250107_sample43_WF138_1_1_CD4-CD8+.fcs,105374
export_250107_sample44_5865_1_1_CD4-CD8+.fcs,69113
