Regex,Count
1_ICA_IC,16616
2_ICB_IC,9067
3_FF-024,35160
4_WF046,27281
5_WF135,27628
6_FF-013,18504
7_WF034,49350
8_FF-035,31920
9_FF-022,10389
10_WF008,17424
11_WF055,35260
12_WF045,12284
13_WF128,50589
14_WF110,100015
15_ICA_IC,34935
16_ICB_IC,24299
17_ICA_IC,213416
18_ICB_IC,176101
19_WF081,83797
20_FF-052,165003
21_FF-023,67632
22_WF015,110042
23_WF057,158178
24_FF-045,142174
sample25_FF-033,20989
sample26_WF094,55179
sample27_1294,78043
sample28_W0043B,4672
sample29_5023,96286
sample30_WF066,65370
sample31_W0050A,13410
sample32_5866,6895
sample33_2766,38753
sample34_WF006,12019
sample35_FF033,2447
sample36_WF094,67856
sample37_W0053A,20394
sample38_5024,97674
sample39_2765,63540
sample40_WF069,53582
sample41_WF025,40606
sample42_1804,14551
sample43_WF138,50423
sample44_5865,9962
FF_Tube1_E_02272022_02,109923
FF_Tube02_E_05252022_2_03,177895
FF_Tube03_E_05262022_03,162924
FF_Tube04_E_05252022_03,141817
FF_Tube05_E_05252022_03,136475
FF_Tube06_E_02272022_02,105934
FF_Tube07_E_05262022_03,146314
FF_Tube08_C_05252022_03,113136
FF_Tube09_E_05262022_03,162676
FF_Tube10_E_02272022_02,94345
FF_Tube11_E_02272022_02,213375
FF_Tube12_C_02272022_02,103802
FF_Tube13_C_05262022_04,67861
FF_Tube14_C_05252022_03,119198
FF_Tube15_C_05252022_03,129448
FF_Tube16_C_05262022_03,78069
FF_Tube17_C_05262022_04,29144
FF_Tube18_C_05262022_03,28908
FF_Tube19_C_02272022_02,118789
FF_Tube20_C_05262022_03,81692
FF_Tube21_C_02272022_02,120795
FF_Tube22_C_02272022_02,73621
FF_Tube23_C_05252022_03,105079
FF_05_E_20220318_04,87026
FF_010_E_03172022_03,136756
FF_012_E_03172022_03,126253
FF_14_E_20220318_04,206412
FF_20_E_20220318_04,126559
FF_21_E_03172022_03,66531
FF_31_E_20220318_04,110701
FF_33_E_20220318_04,182096
FF_38_E_03172022_03,141947
FF_43_C_20220318_04,76119
FF_44_E_03172022_03,98905
UA_937,74291
UA_955,71478
UA_1000,133255
WF_005,164211
WF_91,156458
WF_102,193631
WF_120,142585
