GO	Category	Description	Count	%	Log10(P)	Log10(q)
R-HSA-9821002	Reactome Gene Sets	Chromatin modifications during the maternal to zygotic transition (MZT)	8	6.15	-9.26	-5.32
hsa05321	KEGG Pathway	Inflammatory bowel disease	5	3.85	-5.01	-2.70
R-HSA-1280215	Reactome Gene Sets	Cytokine Signaling in Immune system	12	9.23	-4.60	-2.32
R-HSA-1280218	Reactome Gene Sets	Adaptive Immune System	11	8.46	-4.06	-1.81
GO:0001960	GO Biological Processes	negative regulation of cytokine-mediated signaling pathway	5	3.85	-4.05	-1.81
GO:0010817	GO Biological Processes	regulation of hormone levels	10	7.69	-3.88	-1.64
hsa05166	KEGG Pathway	Human T-cell leukemia virus 1 infection	6	4.62	-3.37	-1.17
R-HSA-5689880	Reactome Gene Sets	Ub-specific processing proteases	5	3.85	-2.98	-0.79
GO:0072132	GO Biological Processes	mesenchyme morphogenesis	3	2.31	-2.76	-0.62
GO:0043009	GO Biological Processes	chordate embryonic development	9	6.92	-2.66	-0.52
M255	Canonical Pathways	PID HIF1 TFPATHWAY	3	2.31	-2.54	-0.43
GO:0051668	GO Biological Processes	localization within membrane	8	6.15	-2.53	-0.42
GO:0032922	GO Biological Processes	circadian regulation of gene expression	3	2.31	-2.52	-0.42
R-HSA-8878159	Reactome Gene Sets	Transcriptional regulation by RUNX3	3	2.31	-2.50	-0.41
GO:0099003	GO Biological Processes	vesicle-mediated transport in synapse	4	3.08	-2.20	-0.18
GO:0031667	GO Biological Processes	response to nutrient levels	7	5.38	-2.18	-0.17
R-HSA-2672351	Reactome Gene Sets	Stimuli-sensing channels	3	2.31	-2.03	-0.06
GO:0051302	GO Biological Processes	regulation of cell division	4	3.08	-2.03	-0.06
GO:0030036	GO Biological Processes	actin cytoskeleton organization	7	5.38	-2.03	-0.06
WP5287	WikiPathways	17q12 copy number variation syndrome	3	2.31	-2.02	-0.06
